nama,jurusan,nama_instansi,divisi,tanggal_mulai,tanggal_akhir,status_magang,jenjang,ipk/nilai,mata_kuliah/pelajaran,skill_teknis,sertifikasi,pengalaman_magang,pengalaman_organisasi,proyek_dikerjakan
Amalia Megantara,Multimedia,SMAN 1 Majalaya,APTIKA,4/14/2022,5/20/2022,Selesai,SMK,97,"Animasi, Desain 3D, Desain Grafis, UI/UX, Editing Video","PHP, Java",-,Magang di Telkom,BEM,Aplikasi Mobile
Balijan Sudiati,Sistem Informasi,Politeknik Piksi Ganesha Bandung,APTIKA,4/5/2022,6/22/2022,Selesai,S1,"3,54","Analisis Sistem, Jaringan, Rekayasa Perangkat Lunak, Pemrograman, Manajemen Proyek","Adobe, UI/UX",Adobe Certified,Magang di Diskominfo,BEM,Penelitian Sosial
Kuswandari,Multimedia,SMKN 1 Katapang,APTIKA,4/5/2022,6/20/2022,Selesai,SMK,75,"Animasi, Fotografi, UI/UX, Editing Video, Desain 3D","Excel, UI/UX",-,Magang di Bank BJB,OSIS,Video Animasi
Cinta Wahyudin,Teknik Sipil,Politeknik Piksi Ganesha Bandung,APTIKA,4/14/2022,6/20/2022,Selesai,S1,"3,14","Mekanika Tanah, Gambar Teknik, Struktur Beton, Statika, Manajemen Konstruksi","AutoCAD, Excel",-,Magang di Bank BJB,-,Penelitian Sosial
Tari Fujiati,Ilmu Komunikasi,Universitas Komputer Indonesia,APTIKA,4/5/2022,6/22/2022,Selesai,S1,"3,06","Jurnalistik, Fotografi, Komunikasi Massa, Manajemen Media, Public Speaking","Adobe, UI/UX",Cisco CCNA,-,Himpunan Mahasiswa,Aplikasi Mobile
Reza Waluyo,Multimedia,SMKN 1 Katapang,APTIKA,4/5/2022,5/23/2022,Selesai,SMK,96,"Editing Video, Desain 3D, Animasi, UI/UX, Fotografi","Python, SQL",-,Magang di Bank BJB,OSIS,Video Animasi
Natalia Tarihoran,Ilmu Komunikasi,Universitas Bale Bandung,APTIKA,4/7/2022,5/7/2022,Selesai,S1,"2,81","Sosiologi Komunikasi, Fotografi, Manajemen Media, Komunikasi Massa, Jurnalistik","AutoCAD, Excel",Adobe Certified,-,-,Website Kampus
Praba Marpaung,Teknik Informatika,Politeknik Piksi Ganesha Bandung,APTIKA,4/5/2022,5/7/2022,Selesai,S1,"3,52","Jaringan Komputer, Struktur Data, Basis Data, Algoritma, Kecerdasan Buatan","AutoCAD, Excel",-,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Tira Prasetya,Teknik Sipil,Universitas Komputer Indonesia,APTIKA,4/7/2022,6/29/2022,Selesai,S1,"2,93","Statika, Manajemen Konstruksi, Mekanika Tanah, Hidrologi, Gambar Teknik","AutoCAD, Excel",Microsoft Office Specialist,Magang di Telkom,BEM,Penelitian Sosial
Oliva Januar,Teknik Sipil,Universitas Bale Bandung,APTIKA,5/12/2022,6/22/2022,Selesai,S1,"2,86","Statika, Manajemen Konstruksi, Mekanika Tanah, Hidrologi, Gambar Teknik","PHP, Java",Cisco CCNA,-,Himpunan Mahasiswa,-
Labuh Manullang,IPA,SMAN 1 Majalaya,SEKRE,5/5/2022,6/20/2022,Selesai,SMA,83,"Biologi, Fisika, Matematika, Bahasa Inggris, Kimia","Adobe, UI/UX",Cisco CCNA,Magang di Diskominfo,BEM,Video Animasi
Putri Januar,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,SEKRE,4/14/2022,5/20/2022,Selesai,S1,"2,84","Jurnalistik, Komunikasi Massa, Fotografi, Sosiologi Komunikasi, Manajemen Media","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,Penelitian Sosial
Lulut Pranowo,Ilmu Komunikasi,Universitas Langlangbuana,SEKRE,4/5/2022,6/22/2022,Selesai,S1,"3,66","Komunikasi Massa, Jurnalistik, Manajemen Media, Fotografi, Public Speaking","Excel, UI/UX",Cisco CCNA,Magang di Telkom,-,Aplikasi Mobile
Padma Manullang,Teknik Sipil,Universitas Langlangbuana,SEKRE,4/5/2022,6/20/2022,Selesai,S1,"3,03","Mekanika Tanah, Hidrologi, Gambar Teknik, Manajemen Konstruksi, Statika","Excel, UI/UX",-,-,BEM,Website Kampus
Yance Fujiati,IPS,SMKN 1 Katapang,SEKRE,4/14/2022,6/20/2022,Selesai,SMA,86,"Sosiologi, Ekonomi, PPKn, Geografi, Sejarah","PHP, Java",-,Magang di Diskominfo,-,Penelitian Sosial
Gabriella Budiyanto,RPL,SMKN 1 Katapang,SEKRE,4/5/2022,6/22/2022,Selesai,SMK,79,"Sistem Operasi, Jaringan Komputer, PBO, Pemrograman, Basis Data","Python, SQL",Microsoft Office Specialist,Magang di Telkom,Himpunan Mahasiswa,Video Animasi
Artanto Najmudin,IPA,SMAN 1 Ciparay,SEKRE,4/5/2022,5/23/2022,Selesai,SMA,80,"Matematika, Bahasa Inggris, Biologi, Kimia, Informatika","Python, SQL",-,Magang di Bank BJB,-,Video Animasi
Jamal Laksmiwati,IPA,SMAN 1 Majalaya,SEKRE,4/7/2022,5/7/2022,Selesai,SMA,88,"Matematika, Bahasa Inggris, Fisika, Informatika, Kimia","Adobe, UI/UX",-,Magang di Bank BJB,BEM,Website Kampus
Danuja Kuswandari,Teknik Sipil,Universitas Komputer Indonesia,SEKRE,4/5/2022,5/7/2022,Selesai,S1,"3,27","Statika, Manajemen Konstruksi, Hidrologi, Mekanika Tanah, Struktur Beton","AutoCAD, Excel",-,-,OSIS,Video Animasi
Siti Purwanti,Sistem Informasi,Universitas Bale Bandung,SEKRE,4/7/2022,6/29/2022,Selesai,S1,"3,58","Pemrograman, Basis Data, Rekayasa Perangkat Lunak, Jaringan, Manajemen Proyek","Python, SQL",-,-,BEM,Aplikasi Mobile
Putri Prakasa,RPL,SMAN 1 Ciparay,STATISTIK,5/12/2022,6/22/2022,Selesai,SMK,95,"Pemrograman, Sistem Operasi, Basis Data, Jaringan Komputer, Desain UI/UX","AutoCAD, Excel",-,-,BEM,Video Animasi
Humaira Nababan,IPA,SMAN 1 Majalaya,STATISTIK,5/5/2022,6/20/2022,Selesai,SMA,97,"Informatika, Bahasa Inggris, Biologi, Matematika, Fisika","Excel, UI/UX",-,Magang di Telkom,OSIS,-
Fathonah Yuniar,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,STATISTIK,4/14/2022,5/20/2022,Selesai,S1,"3,45","Sosiologi Komunikasi, Komunikasi Massa, Public Speaking, Fotografi, Jurnalistik","Adobe, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,Penelitian Sosial
Tasnim Adriansyah,Sistem Informasi,Universitas Bale Bandung,STATISTIK,4/5/2022,6/22/2022,Selesai,S1,"2,84","Pemrograman, Basis Data, Rekayasa Perangkat Lunak, Manajemen Proyek, Jaringan","PHP, Java",Adobe Certified,Magang di Bank BJB,OSIS,Video Animasi
Galiono Mulyani,Teknik Informatika,Universitas Bale Bandung,STATISTIK,5/12/2022,6/22/2022,Selesai,S1,"3,12","Algoritma, Struktur Data, Pemrograman Web, Jaringan Komputer, Basis Data","Python, SQL",Cisco CCNA,-,BEM,-
Samiah Sihombing,Multimedia,SMAN 1 Ciparay,STATISTIK,5/5/2022,6/20/2022,Selesai,SMK,96,"Desain 3D, Editing Video, Fotografi, Desain Grafis, Animasi","Python, SQL",-,Magang di Diskominfo,OSIS,-
Gatot Wahyudin,Sistem Informasi,Universitas Bale Bandung,STATISTIK,4/14/2022,5/20/2022,Selesai,S1,"3,75","Rekayasa Perangkat Lunak, Analisis Sistem, Jaringan, Basis Data, Manajemen Proyek","PHP, Java",Adobe Certified,Magang di Telkom,Himpunan Mahasiswa,-
Drajat Adriansyah,Sistem Informasi,Universitas Langlangbuana,STATISTIK,4/5/2022,6/22/2022,Selesai,S1,"3,34","Analisis Sistem, Manajemen Proyek, Basis Data, Pemrograman, Rekayasa Perangkat Lunak","PHP, Java",-,Magang di Telkom,OSIS,Penelitian Sosial
Tasnim Yuliarti,Teknik Sipil,Universitas Komputer Indonesia,STATISTIK,4/14/2022,5/20/2022,Selesai,S1,"3,05","Hidrologi, Manajemen Konstruksi, Statika, Mekanika Tanah, Gambar Teknik","Python, SQL",Microsoft Office Specialist,Magang di Telkom,-,-
Irma Sitorus,RPL,SMKN 2 Baleendah,STATISTIK,4/5/2022,6/22/2022,Selesai,SMK,90,"PBO, Pemrograman, Sistem Operasi, Basis Data, Desain UI/UX","AutoCAD, Excel",Microsoft Office Specialist,-,Himpunan Mahasiswa,Website Kampus
Vero Sihombing,Sistem Informasi,Universitas Komputer Indonesia,TIK,8/5/2022,9/20/2022,Selesai,S1,"2,91","Jaringan, Rekayasa Perangkat Lunak, Analisis Sistem, Manajemen Proyek, Basis Data","Python, SQL",Adobe Certified,Magang di Bank BJB,BEM,Penelitian Sosial
Diah Fujiati,Psikologi,Universitas Langlangbuana,TIK,7/12/2022,9/26/2022,Selesai,S1,"3,64","Teori Kepribadian, Metodologi Psikologi, Konseling, Psikologi Klinis, Psikologi Sosial","Python, SQL",-,-,BEM,Video Animasi
Gatra Nugroho,RPL,SMKN 2 Baleendah,TIK,7/19/2022,9/23/2022,Selesai,SMK,77,"Jaringan Komputer, Sistem Operasi, Pemrograman, Basis Data, PBO","AutoCAD, Excel",Microsoft Office Specialist,-,-,Website Kampus
Lala Pangestu,Psikologi,Universitas Bale Bandung,TIK,7/15/2022,8/20/2022,Selesai,S1,"2,84","Psikologi Sosial, Konseling, Psikologi Klinis, Teori Kepribadian, Metodologi Psikologi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Penelitian Sosial
Panca Yolanda,Teknik Sipil,Universitas Langlangbuana,TIK,7/5/2022,9/14/2022,Selesai,S1,"3,64","Statika, Struktur Beton, Hidrologi, Manajemen Konstruksi, Gambar Teknik","Adobe, UI/UX",-,-,BEM,Video Animasi
Eluh Safitri,RPL,SMKN 2 Baleendah,TIK,7/14/2022,9/21/2022,Selesai,SMK,87,"Sistem Operasi, Basis Data, Pemrograman, PBO, Jaringan Komputer","Adobe, UI/UX",-,Magang di Diskominfo,-,Website Kampus
Rini Pradipta,IPS,SMAN 1 Majalaya,TIK,8/5/2022,9/26/2022,Selesai,SMA,85,"Bahasa Indonesia, PPKn, Geografi, Ekonomi, Sosiologi","Adobe, UI/UX",Adobe Certified,Magang di Diskominfo,OSIS,Website Kampus
Tami Suryatmi,Psikologi,Universitas Komputer Indonesia,TIK,8/25/2022,9/25/2022,Selesai,S1,"3,45","Teori Kepribadian, Metodologi Psikologi, Psikologi Pendidikan, Psikologi Klinis, Psikologi Sosial","Adobe, UI/UX",-,Magang di Telkom,OSIS,Penelitian Sosial
Cawuk Wijayanti,IPS,SMAN 1 Ciparay,TIK,8/22/2022,9/12/2022,Selesai,SMA,89,"Sejarah, Bahasa Indonesia, Sosiologi, Geografi, Ekonomi","Excel, UI/UX",Adobe Certified,Magang di Bank BJB,-,Aplikasi Mobile
Kemal Waluyo,Psikologi,Universitas Langlangbuana,TIK,8/5/2022,9/14/2022,Selesai,S1,"3,06","Psikologi Sosial, Psikologi Klinis, Metodologi Psikologi, Psikologi Pendidikan, Konseling","Adobe, UI/UX",-,-,Himpunan Mahasiswa,Video Animasi
Martaka Prakasa,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,IKP,8/5/2022,9/20/2022,Selesai,S1,"3,81","Fotografi, Jurnalistik, Sosiologi Komunikasi, Manajemen Media, Public Speaking","PHP, Java",Cisco CCNA,Magang di Diskominfo,BEM,Website Kampus
Soleh Setiawan,IPA,SMAN 1 Banjaran,IKP,7/12/2022,9/26/2022,Selesai,SMA,96,"Biologi, Matematika, Kimia, Bahasa Inggris, Fisika","Python, SQL",-,-,-,Website Kampus
Samsul Usada,Sistem Informasi,Institut Teknologi Nasional Bandung,IKP,7/19/2022,9/23/2022,Selesai,S1,"2,97","Rekayasa Perangkat Lunak, Pemrograman, Jaringan, Analisis Sistem, Manajemen Proyek","Python, SQL",Microsoft Office Specialist,Magang di Diskominfo,Himpunan Mahasiswa,Video Animasi
Ulva Anggriawan,Multimedia,SMKN 1 Katapang,IKP,7/15/2022,8/20/2022,Selesai,SMK,84,"Desain 3D, UI/UX, Editing Video, Fotografi, Animasi","PHP, Java",Adobe Certified,Magang di Diskominfo,BEM,Video Animasi
Cut Lalita Prasasta,RPL,SMAN 1 Majalaya,IKP,7/5/2022,9/14/2022,Selesai,SMK,85,"Sistem Operasi, Pemrograman, PBO, Basis Data, Jaringan Komputer","Python, SQL",-,-,OSIS,Website Kampus
Wani Safitri,Multimedia,SMKN 1 Katapang,IKP,7/14/2022,9/21/2022,Selesai,SMK,95,"UI/UX, Desain Grafis, Animasi, Editing Video, Fotografi","Python, SQL",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Website Kampus
Gaman Maryati,IPA,SMKN 2 Baleendah,IKP,8/5/2022,9/26/2022,Selesai,SMA,78,"Fisika, Bahasa Inggris, Matematika, Kimia, Biologi","Python, SQL",Adobe Certified,Magang di Bank BJB,BEM,Website Kampus
Kurnia Usada,IPA,SMAN 1 Banjaran,IKP,8/25/2022,9/25/2022,Selesai,SMA,98,"Fisika, Biologi, Kimia, Bahasa Inggris, Informatika","AutoCAD, Excel",Cisco CCNA,-,BEM,-
Yahya Siregar,Multimedia,SMAN 1 Majalaya,IKP,8/22/2022,9/12/2022,Selesai,SMK,89,"Editing Video, Fotografi, Desain Grafis, UI/UX, Desain 3D","PHP, Java",Cisco CCNA,-,Himpunan Mahasiswa,Website Kampus
Karma Narpati,Psikologi,Universitas Bale Bandung,IKP,8/5/2022,9/14/2022,Selesai,S1,"3,48","Metodologi Psikologi, Teori Kepribadian, Konseling, Psikologi Sosial, Psikologi Klinis","Adobe, UI/UX",-,Magang di Bank BJB,OSIS,Website Kampus
Ilsa Wulandari,IPA,SMAN 1 Majalaya,PERSANDIAN,8/5/2022,9/20/2022,Selesai,SMA,82,"Kimia, Matematika, Bahasa Inggris, Fisika, Biologi","AutoCAD, Excel",Microsoft Office Specialist,-,BEM,Video Animasi
Rahayu Habibi,Teknik Sipil,Universitas Bale Bandung,PERSANDIAN,7/12/2022,9/26/2022,Selesai,D3,"3,77","Manajemen Konstruksi, Statika, Gambar Teknik, Struktur Beton, Mekanika Tanah","Python, SQL",Adobe Certified,Magang di Bank BJB,-,Aplikasi Mobile
Imam Ardianto,Teknik Sipil,Institut Teknologi Nasional Bandung,PERSANDIAN,7/19/2022,9/23/2022,Selesai,D3,"3,8","Mekanika Tanah, Struktur Beton, Statika, Manajemen Konstruksi, Hidrologi","Python, SQL",Adobe Certified,Magang di Bank BJB,Himpunan Mahasiswa,Aplikasi Mobile
Dina Halim,Psikologi,Universitas Bale Bandung,PERSANDIAN,7/15/2022,8/20/2022,Selesai,D3,"3,73","Teori Kepribadian, Metodologi Psikologi, Konseling, Psikologi Sosial, Psikologi Klinis","AutoCAD, Excel",-,-,-,Website Kampus
Maryanto Utama,Psikologi,Universitas Langlangbuana,PERSANDIAN,7/5/2022,9/14/2022,Selesai,D3,"2,95","Teori Kepribadian, Psikologi Sosial, Psikologi Klinis, Psikologi Pendidikan, Konseling","Adobe, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,-
Bagas Winarno,Multimedia,SMKN 2 Baleendah,PERSANDIAN,7/14/2022,9/21/2022,Selesai,SMK,89,"UI/UX, Desain Grafis, Animasi, Fotografi, Editing Video","AutoCAD, Excel",Adobe Certified,Magang di Telkom,BEM,Website Kampus
Dariati Puspasari,Multimedia,SMAN 1 Majalaya,PERSANDIAN,8/5/2022,9/26/2022,Selesai,SMK,95,"Animasi, Desain Grafis, Editing Video, Desain 3D, Fotografi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Telkom,OSIS,Website Kampus
Gadang Namaga,IPA,SMAN 1 Banjaran,PERSANDIAN,8/25/2022,9/25/2022,Selesai,SMA,79,"Biologi, Matematika, Fisika, Informatika, Kimia","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,-,Aplikasi Mobile
Yessi Thamrin,IPA,SMAN 1 Banjaran,PERSANDIAN,8/22/2022,9/12/2022,Selesai,SMA,90,"Informatika, Bahasa Inggris, Kimia, Matematika, Biologi","AutoCAD, Excel",Adobe Certified,-,OSIS,Video Animasi
Saadat Napitupulu,RPL,SMAN 1 Majalaya,PERSANDIAN,8/5/2022,9/14/2022,Selesai,SMK,95,"Sistem Operasi, Pemrograman, Desain UI/UX, PBO, Jaringan Komputer","Adobe, UI/UX",Adobe Certified,Magang di Diskominfo,BEM,Aplikasi Mobile
Caket Rajasa,Multimedia,SMAN 1 Banjaran,APTIKA,8/5/2022,9/20/2022,Selesai,SMK,95,"Animasi, UI/UX, Editing Video, Fotografi, Desain Grafis","Python, SQL",Microsoft Office Specialist,Magang di Bank BJB,-,Aplikasi Mobile
Cindy Prasetya,Teknik Informatika,Universitas Komputer Indonesia,APTIKA,7/12/2022,9/26/2022,Selesai,D3,3,"Basis Data, Struktur Data, Kecerdasan Buatan, Pemrograman Web, Algoritma","PHP, Java",-,Magang di Bank BJB,BEM,-
Cut Karen Suwarno,IPS,SMKN 1 Katapang,APTIKA,7/19/2022,9/23/2022,Selesai,SMA,95,"Sejarah, Bahasa Indonesia, Geografi, Sosiologi, Ekonomi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Diskominfo,OSIS,-
Adhiarja Winarno,Sistem Informasi,Politeknik Piksi Ganesha Bandung,APTIKA,7/15/2022,8/20/2022,Selesai,D3,"3,85","Analisis Sistem, Jaringan, Rekayasa Perangkat Lunak, Basis Data, Manajemen Proyek","Excel, UI/UX",-,-,-,Website Kampus
Pangestu Nugroho,IPA,SMAN 1 Majalaya,APTIKA,7/5/2022,9/14/2022,Selesai,SMA,79,"Fisika, Bahasa Inggris, Informatika, Matematika, Biologi","Python, SQL",-,Magang di Diskominfo,Himpunan Mahasiswa,Video Animasi
Bagas Rahimah,Ilmu Komunikasi,Universitas Langlangbuana,APTIKA,7/14/2022,9/21/2022,Selesai,D3,"3,02","Fotografi, Komunikasi Massa, Manajemen Media, Public Speaking, Sosiologi Komunikasi","Excel, UI/UX",Microsoft Office Specialist,-,Himpunan Mahasiswa,Video Animasi
Luwar Prasetyo,IPA,SMAN 1 Ciparay,APTIKA,8/5/2022,9/26/2022,Selesai,SMA,76,"Bahasa Inggris, Biologi, Fisika, Kimia, Informatika","AutoCAD, Excel",Cisco CCNA,Magang di Bank BJB,BEM,Website Kampus
Okta Mansur,Ilmu Komunikasi,Universitas Komputer Indonesia,APTIKA,8/25/2022,9/25/2022,Selesai,D3,"3,35","Jurnalistik, Public Speaking, Komunikasi Massa, Manajemen Media, Fotografi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Telkom,-,Penelitian Sosial
Yessi Usamah,Psikologi,Institut Teknologi Nasional Bandung,APTIKA,8/22/2022,9/12/2022,Selesai,D3,"3,68","Psikologi Sosial, Metodologi Psikologi, Teori Kepribadian, Psikologi Pendidikan, Psikologi Klinis","PHP, Java",Cisco CCNA,Magang di Bank BJB,Himpunan Mahasiswa,Video Animasi
Paiman Andriani,Teknik Informatika,Universitas Bale Bandung,APTIKA,8/5/2022,9/14/2022,Selesai,D3,"3,34","Struktur Data, Algoritma, Kecerdasan Buatan, Pemrograman Web, Jaringan Komputer","Excel, UI/UX",-,Magang di Diskominfo,Himpunan Mahasiswa,-
Darmaji Nugroho,IPS,SMAN 1 Banjaran,SEKRE,7/19/2022,9/23/2022,Selesai,SMA,82,"Ekonomi, Sosiologi, Geografi, Sejarah, Bahasa Indonesia","Python, SQL",-,Magang di Telkom,-,-
Banawa Damanik,IPA,SMAN 1 Ciparay,SEKRE,7/15/2022,8/20/2022,Selesai,SMA,90,"Informatika, Matematika, Biologi, Bahasa Inggris, Fisika","AutoCAD, Excel",Adobe Certified,Magang di Diskominfo,-,Aplikasi Mobile
Ratna Namaga,IPA,SMKN 2 Baleendah,SEKRE,7/5/2022,9/14/2022,Selesai,SMA,95,"Matematika, Kimia, Bahasa Inggris, Biologi, Informatika","Python, SQL",Microsoft Office Specialist,Magang di Telkom,BEM,Video Animasi
Kasusra Mardhiyah,Multimedia,SMAN 1 Majalaya,SEKRE,7/14/2022,9/21/2022,Selesai,SMK,82,"Desain 3D, Editing Video, Animasi, UI/UX, Fotografi","Adobe, UI/UX",-,-,OSIS,Video Animasi
Genta Permata,Teknik Sipil,Universitas Komputer Indonesia,SEKRE,8/5/2022,9/26/2022,Selesai,D3,"2,86","Mekanika Tanah, Struktur Beton, Hidrologi, Gambar Teknik, Manajemen Konstruksi","PHP, Java",-,Magang di Telkom,OSIS,Website Kampus
Astuti,Teknik Sipil,Politeknik Piksi Ganesha Bandung,SEKRE,8/25/2022,9/25/2022,Selesai,D3,"2,78","Gambar Teknik, Struktur Beton, Manajemen Konstruksi, Mekanika Tanah, Statika","Adobe, UI/UX",Microsoft Office Specialist,-,OSIS,Aplikasi Mobile
Puti Ade Hutasoit,Teknik Sipil,Universitas Bale Bandung,SEKRE,8/22/2022,9/12/2022,Selesai,D3,"3,58","Mekanika Tanah, Hidrologi, Struktur Beton, Manajemen Konstruksi, Gambar Teknik","PHP, Java",-,Magang di Diskominfo,OSIS,Video Animasi
Limar Lestari,IPS,SMKN 2 Baleendah,SEKRE,8/5/2022,9/14/2022,Selesai,SMA,92,"Sejarah, Bahasa Indonesia, Ekonomi, Sosiologi, Geografi","Excel, UI/UX",-,Magang di Telkom,Himpunan Mahasiswa,-
Edward Waluyo,Sistem Informasi,Universitas Langlangbuana,STATISTIK,7/19/2022,9/23/2022,Selesai,D3,"3,36","Basis Data, Manajemen Proyek, Analisis Sistem, Jaringan, Pemrograman","Adobe, UI/UX",Microsoft Office Specialist,-,Himpunan Mahasiswa,Website Kampus
Hesti Pangestu,Teknik Sipil,Universitas Langlangbuana,STATISTIK,7/15/2022,8/20/2022,Selesai,D3,"3,77","Manajemen Konstruksi, Mekanika Tanah, Hidrologi, Struktur Beton, Statika","PHP, Java",Adobe Certified,Magang di Diskominfo,OSIS,Video Animasi
Dono Januar,RPL,SMAN 1 Banjaran,STATISTIK,7/5/2022,9/14/2022,Selesai,SMK,90,"Pemrograman, Sistem Operasi, Desain UI/UX, Jaringan Komputer, Basis Data","Python, SQL",Adobe Certified,Magang di Diskominfo,Himpunan Mahasiswa,-
Sari Nasyidah,Sistem Informasi,Universitas Langlangbuana,STATISTIK,7/14/2022,9/21/2022,Selesai,D3,"3,51","Pemrograman, Manajemen Proyek, Rekayasa Perangkat Lunak, Jaringan, Analisis Sistem","AutoCAD, Excel",Cisco CCNA,Magang di Diskominfo,OSIS,Website Kampus
Jarwadi Andriani,RPL,SMAN 1 Ciparay,STATISTIK,8/5/2022,9/26/2022,Selesai,SMK,84,"Pemrograman, Jaringan Komputer, Desain UI/UX, Sistem Operasi, Basis Data","PHP, Java",-,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Eka Anggraini,RPL,SMKN 2 Baleendah,STATISTIK,8/25/2022,9/25/2022,Selesai,SMK,87,"PBO, Pemrograman, Sistem Operasi, Basis Data, Jaringan Komputer","AutoCAD, Excel",-,-,-,Website Kampus
Mutia Laksmiwati,IPA,SMKN 2 Baleendah,STATISTIK,8/22/2022,9/12/2022,Selesai,SMA,87,"Fisika, Matematika, Bahasa Inggris, Informatika, Kimia","Adobe, UI/UX",-,Magang di Diskominfo,OSIS,Aplikasi Mobile
Siska Adriansyah,Teknik Informatika,Universitas Langlangbuana,STATISTIK,8/5/2022,9/14/2022,Selesai,D3,"3,59","Kecerdasan Buatan, Pemrograman Web, Algoritma, Basis Data, Struktur Data","Excel, UI/UX",Cisco CCNA,Magang di Diskominfo,BEM,-
Yance Pranowo,Multimedia,SMAN 1 Banjaran,STATISTIK,7/19/2022,9/23/2022,Selesai,SMK,81,"Fotografi, Animasi, UI/UX, Desain 3D, Desain Grafis","PHP, Java",Cisco CCNA,Magang di Diskominfo,-,-
Sabri Wulandari,IPS,SMKN 2 Baleendah,STATISTIK,7/15/2022,8/20/2022,Selesai,SMA,86,"PPKn, Sosiologi, Sejarah, Ekonomi, Bahasa Indonesia","Excel, UI/UX",Microsoft Office Specialist,-,Himpunan Mahasiswa,Aplikasi Mobile
Karimah Hidayanto,Sistem Informasi,Politeknik Piksi Ganesha Bandung,TIK,10/11/2022,12/11/2022,Selesai,D3,"3,66","Manajemen Proyek, Analisis Sistem, Pemrograman, Basis Data, Jaringan","Python, SQL",-,Magang di Diskominfo,OSIS,Website Kampus
Gaduh Nurdiyanti,Multimedia,SMKN 2 Baleendah,TIK,10/14/2022,11/20/2022,Selesai,SMK,96,"UI/UX, Editing Video, Desain 3D, Fotografi, Animasi","Python, SQL",Cisco CCNA,Magang di Bank BJB,BEM,-
Wardaya Zulkarnain,Psikologi,Universitas Langlangbuana,TIK,10/21/2022,12/23/2022,Selesai,D3,"2,81","Konseling, Metodologi Psikologi, Psikologi Sosial, Psikologi Pendidikan, Teori Kepribadian","Python, SQL",-,Magang di Bank BJB,BEM,-
Hasim Usad,IPA,SMAN 1 Banjaran,TIK,11/5/2022,12/28/2022,Selesai,SMA,94,"Kimia, Biologi, Matematika, Informatika, Fisika","Adobe, UI/UX",Adobe Certified,Magang di Bank BJB,BEM,Penelitian Sosial
Keisha Pratama,Teknik Sipil,Politeknik Piksi Ganesha Bandung,TIK,11/27/2022,12/29/2022,Selesai,S1,"2,75","Statika, Manajemen Konstruksi, Hidrologi, Gambar Teknik, Struktur Beton","Excel, UI/UX",Cisco CCNA,-,-,Aplikasi Mobile
Sabrina Widiastuti,Teknik Sipil,Politeknik Piksi Ganesha Bandung,TIK,10/30/2022,12/17/2022,Selesai,S1,"3,66","Mekanika Tanah, Struktur Beton, Gambar Teknik, Statika, Manajemen Konstruksi","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Yani Suryatmi,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,TIK,10/21/2022,12/19/2022,Selesai,S1,"2,97","Sosiologi Komunikasi, Manajemen Media, Jurnalistik, Fotografi, Public Speaking","Excel, UI/UX",-,-,Himpunan Mahasiswa,Video Animasi
Olivia Maryadi,Teknik Sipil,Universitas Langlangbuana,TIK,10/25/2022,11/20/2022,Selesai,D3,"2,95","Gambar Teknik, Mekanika Tanah, Statika, Hidrologi, Struktur Beton","Python, SQL",-,Magang di Telkom,Himpunan Mahasiswa,-
Vanya Maryati,RPL,SMKN 1 Katapang,TIK,10/20/2022,11/23/2022,Selesai,SMK,78,"Basis Data, Jaringan Komputer, Pemrograman, Sistem Operasi, Desain UI/UX","Adobe, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,-,Website Kampus
Sutan Prabawa Siregar,Teknik Sipil,Universitas Komputer Indonesia,TIK,11/2/2022,12/25/2022,Selesai,D3,"2,76","Manajemen Konstruksi, Mekanika Tanah, Hidrologi, Gambar Teknik, Struktur Beton","Excel, UI/UX",Cisco CCNA,-,BEM,Video Animasi
Tasdik Purwanti,Multimedia,SMAN 1 Majalaya,IKP,10/11/2022,12/11/2022,Selesai,SMK,97,"Editing Video, UI/UX, Desain 3D, Fotografi, Animasi","PHP, Java",Adobe Certified,Magang di Telkom,BEM,-
Ivan Wijaya,Ilmu Komunikasi,Universitas Bale Bandung,IKP,10/14/2022,11/20/2022,Selesai,D3,"3,78","Fotografi, Jurnalistik, Manajemen Media, Public Speaking, Komunikasi Massa","Adobe, UI/UX",-,Magang di Bank BJB,OSIS,Aplikasi Mobile
